Candidate,Party,State,Office,Incumbency,Result,Total Money
"DRIVER, JOE",REPUBLICAN,TX,HOUSE DISTRICT 113,Incumbent,Won-General,186465.00
"WEST, G E (BUDDY)",REPUBLICAN,TX,HOUSE DISTRICT 081,Incumbent,Won-General,185665.00
"HECHT, NATHAN L",REPUBLICAN,TX,SUPREME COURT-HECHT SEAT,Incumbent,Won-General,185453.01
"KUEMPEL, EDMUND",REPUBLICAN,TX,HOUSE DISTRICT 044,Incumbent,Won-General,184579.25
"BALIDO, NELSON",REPUBLICAN,TX,HOUSE DISTRICT 125,Challenger,Lost-General,181351.56
"VEASEY, MARC",DEMOCRATIC,TX,HOUSE DISTRICT 095,Incumbent,Won-General,180722.48
"VILLARREAL, MICHAEL U",DEMOCRATIC,TX,HOUSE DISTRICT 123,Incumbent,Won-General,179546.91
"HERRERO, ABEL",DEMOCRATIC,TX,HOUSE DISTRICT 034,Incumbent,Won-General,172912.16
"GONZALES, VERONICA",DEMOCRATIC,TX,HOUSE DISTRICT 041,Incumbent,Won-General,172503.82
"TALTON, ROBERT",REPUBLICAN,TX,HOUSE DISTRICT 144,Incumbent,Won-General,168421.13
"TAYLOR, LARRY",REPUBLICAN,TX,HOUSE DISTRICT 024,Incumbent,Won-General,164104.52
"MCCLENDON, RUTH JONES",DEMOCRATIC,TX,HOUSE DISTRICT 120,Incumbent,Won-General,161600.00
"OTTO, JOHN",REPUBLICAN,TX,HOUSE DISTRICT 018,Incumbent,Won-General,161444.78
"CASTRO, JOAQUIN",DEMOCRATIC,TX,HOUSE DISTRICT 125,Incumbent,Won-General,160634.85
"RITTER, ALLAN B",DEMOCRATIC,TX,HOUSE DISTRICT 021,Incumbent,Won-General,160341.62
"FISCHER III, TREY MARTINEZ",DEMOCRATIC,TX,HOUSE DISTRICT 116,Incumbent,Won-General,160060.60
"MARTINEZ, ARMANDO (MANDO)",DEMOCRATIC,TX,HOUSE DISTRICT 039,Incumbent,Won-General,157145.31
"HOLLINGSWORTH, KIRBY",REPUBLICAN,TX,HOUSE DISTRICT 003,Challenger,Lost-General,156662.83
"QUINTANILLA, CHENTE",DEMOCRATIC,TX,HOUSE DISTRICT 075,Incumbent,Won-General,154420.32
"DUNNAM, JIM",DEMOCRATIC,TX,HOUSE DISTRICT 057,Incumbent,Won-General,152829.21
"KING, TRACY O",DEMOCRATIC,TX,HOUSE DISTRICT 080,Incumbent,Won-General,151888.83
"HARTNETT, WILL",REPUBLICAN,TX,HOUSE DISTRICT 114,Incumbent,Won-General,151495.95
"KENYON, TED",REPUBLICAN,TX,HOUSE DISTRICT 117,Challenger,Lost-General,151047.43
"ESCOBAR, JUAN M",DEMOCRATIC,TX,HOUSE DISTRICT 043,Incumbent,Won-General,147402.17
"VAN ARSDALE, CORBIN",REPUBLICAN,TX,HOUSE DISTRICT 130,Incumbent,Won-General,146660.00
"RIDDLE, DEBBIE",REPUBLICAN,TX,HOUSE DISTRICT 150,Incumbent,Won-General,142532.86
"MILLER, SIDNEY C (SID)",REPUBLICAN,TX,HOUSE DISTRICT 059,Incumbent,Won-General,141606.93
"PAXTON JR, W KENNETH (KEN)",REPUBLICAN,TX,HOUSE DISTRICT 070,Incumbent,Won-General,135877.17
"NORIEGA, RICHARD J (RICK)",DEMOCRATIC,TX,HOUSE DISTRICT 145,Incumbent,Won-General,135521.06
"HOWARD, CHARLIE FRANKLIN",REPUBLICAN,TX,HOUSE DISTRICT 026,Incumbent,Won-General,130693.26
"ZEDLER, BILL",REPUBLICAN,TX,HOUSE DISTRICT 096,Incumbent,Won-General,130446.17
"THOMPSON, SENFRONIA",DEMOCRATIC,TX,HOUSE DISTRICT 141,Incumbent,Won-General,126899.53
"DUTTON JR, HAROLD V",DEMOCRATIC,TX,HOUSE DISTRICT 142,Incumbent,Won-General,126735.73
"HARDCASTLE, RICK",REPUBLICAN,TX,HOUSE DISTRICT 068,Incumbent,Won-General,123920.72
"BERMAN, LEO",REPUBLICAN,TX,HOUSE DISTRICT 006,Incumbent,Won-General,121199.88
"CROWNOVER, MYRA",REPUBLICAN,TX,HOUSE DISTRICT 064,Incumbent,Won-General,119710.22
"SMITH, WAYNE",REPUBLICAN,TX,HOUSE DISTRICT 128,Incumbent,Won-General,118954.93
"MCCOMB, JOE",REPUBLICAN,TX,HOUSE DISTRICT 033,Open,Lost-General,117136.52
"SHINODA, PHILLIP",DEMOCRATIC,TX,HOUSE DISTRICT 114,Challenger,Lost-General,116297.32
"BURNAM, LON",DEMOCRATIC,TX,HOUSE DISTRICT 090,Incumbent,Won-General,113452.98
"ELKINS, GARY W",REPUBLICAN,TX,HOUSE DISTRICT 135,Incumbent,Won-General,113139.54
"OLIVEIRA, RENE O",DEMOCRATIC,TX,HOUSE DISTRICT 037,Incumbent,Won-General,111450.00
"CORTE JR, FRANK J",REPUBLICAN,TX,HOUSE DISTRICT 122,Incumbent,Won-General,109378.41
"GILBERT, HANK",DEMOCRATIC,TX,AGRICULTURE COMMISSIONER,Open,Lost-General,106702.44
"MOWERY, ANNA",REPUBLICAN,TX,HOUSE DISTRICT 097,Incumbent,Won-General,106026.96
"BROWN, FRED",REPUBLICAN,TX,HOUSE DISTRICT 014,Incumbent,Won-General,104955.00
"JACKSON, JIM",REPUBLICAN,TX,HOUSE DISTRICT 115,Incumbent,Won-General,101796.74
"MADDEN, JERRY A",REPUBLICAN,TX,HOUSE DISTRICT 067,Incumbent,Won-General,99656.80
"BOWEN, DICK",REPUBLICAN,TX,SENATE DISTRICT 019,Open,Lost-General,99092.88
"PICKETT, JOE C",DEMOCRATIC,TX,HOUSE DISTRICT 079,Incumbent,Won-General,98910.23
"HAILEY, MEL",DEMOCRATIC,TX,HOUSE DISTRICT 071,Open,Lost-General,96692.40
"NAISHTAT, ELLIOTT",DEMOCRATIC,TX,HOUSE DISTRICT 049,Incumbent,Won-General,94318.40
"MATULA, SHERRIE L",DEMOCRATIC,TX,HOUSE DISTRICT 129,Challenger,Lost-General,92313.34
"LATHAM, THOMAS P",REPUBLICAN,TX,HOUSE DISTRICT 101,Open,Won-General,90392.21
"DUKES, DAWNNA",DEMOCRATIC,TX,HOUSE DISTRICT 046,Incumbent,Won-General,89127.11
"HODGE, TERRI",DEMOCRATIC,TX,HOUSE DISTRICT 100,Incumbent,Won-General,87620.15
"HEAD, FRED",DEMOCRATIC,TX,COMPTROLLER,Open,Lost-General,86184.44
"DESHOTEL, JOE",DEMOCRATIC,TX,HOUSE DISTRICT 022,Incumbent,Won-General,77881.15
"MERCER, KEN",REPUBLICAN,TX,BOARD OF EDUCATION DISTRICT 005,Open,Won-General,75939.43
"FARRAR, JESSICA CRISTINA",DEMOCRATIC,TX,HOUSE DISTRICT 148,Incumbent,Won-General,75832.68
"CLAYTON, PAUL",DEMOCRATIC,TX,HOUSE DISTRICT 019,Challenger,Lost-General,71860.50
