Candidate,Party,State,Office,Incumbency,Result,Total Money
"THIELEN, CYNTHIA HENRY",REPUBLICAN,HI,HOUSE DISTRICT 050,Open,Won-General,23290.00
"HALFORD, CHRIS",REPUBLICAN,HI,HOUSE DISTRICT 011,Incumbent,Won-General,22489.11
"RATH, JAMES",REPUBLICAN,HI,HOUSE DISTRICT 007,Open,Lost-General,21876.12
"OSHIRO, MARCUS R",DEMOCRATIC,HI,HOUSE DISTRICT 039,Open,Won-General,21862.36
"EVANS, CINDY",DEMOCRATIC,HI,HOUSE DISTRICT 007,Open,Won-General,21432.75
"SCHATZ, BRIAN E",DEMOCRATIC,HI,HOUSE DISTRICT 025,Open,Won-General,20617.75
"MINDO, ROMEO M (ROMY)",DEMOCRATIC,HI,HOUSE DISTRICT 043,Open,Won-General,20527.38
"IGE, DAVID",DEMOCRATIC,HI,SENATE DISTRICT 016,Open,Won-General,20514.98
"KANNO, BRIAN",DEMOCRATIC,HI,SENATE DISTRICT 019,Open,Won-General,20269.08
"IHARA JR, LES S",DEMOCRATIC,HI,SENATE DISTRICT 009,Open,Won-General,18803.17
"ABINSAY JR, FELIPE P (JUN)",DEMOCRATIC,HI,HOUSE DISTRICT 029,Incumbent,Won-General,17976.25
"HALE, HELENE H",DEMOCRATIC,HI,HOUSE DISTRICT 004,Incumbent,Won-General,17399.93
"ARAKAKI, DENNIS A",DEMOCRATIC,HI,HOUSE DISTRICT 030,Open,Won-General,16994.42
"HIRAKI, KENNETH T (KEN)",DEMOCRATIC,HI,HOUSE DISTRICT 028,Incumbent,Won-General,16825.00
"OSHIRO, BLAKE K",DEMOCRATIC,HI,HOUSE DISTRICT 033,Incumbent,Won-General,16549.00
"KARAMATSU, JON RIKI",DEMOCRATIC,HI,HOUSE DISTRICT 041,Open,Won-General,14735.42
"INOUYE, LORRAINE RODERO",DEMOCRATIC,HI,SENATE DISTRICT 001,Incumbent,Won-General,14598.00
"KAHIKINA, MICHAEL PUAMAMO",DEMOCRATIC,HI,HOUSE DISTRICT 044,Open,Won-General,14305.00
