office,candidate,party,state,incumbency,result,total money,district
State Representative,Bill Harmon,DEM,TN,Incumbent,Won-General,117412.51,37
State Representative,Stratton Bone,DEM,TN,Incumbent,Won-General,116060.53,46
State Representative,Dennis Ferguson,DEM,TN,Incumbent,Won-General,115725.0,32
State Representative,Beth Harwell,REP,TN,Open,Won-General,115300.0,56
State Representative,Curt Cobb,DEM,TN,Incumbent,Won-General,114647.97,62
State Representative,Joe Carr,REP,TN,Open,Won-General,113680.0,48
State Representative,Judd Matheny,REP,TN,Incumbent,Won-General,111341.0,47
State Representative,Jim Ryal,DEM,TN,Open,Lost-General,109188.04,79
State Representative,Charles Sargent Jr.,REP,TN,Incumbent,Won-General,105215.0,61
State Representative,Ty Cobb,DEM,TN,Challenger,Won-General,105069.0,64
State Representative,Glen Casada,REP,TN,Incumbent,Won-General,93995.18,63
State Representative,Joseph Armstrong,DEM,TN,Incumbent,Won-General,93600.0,15
State Representative,Henry Fincher,DEM,TN,Incumbent,Won-General,91070.0,42
State Representative,Stan Wheeler,DEM,TN,Open,Lost-General,89500.0,71
State Representative,Debra Young Maggart,REP,TN,Incumbent,Won-General,89404.44,45
State Representative,Phillip Johnson,REP,TN,Incumbent,Won-General,87645.17,78
State Representative,Chad Faulkner,REP,TN,Open,Won-General,87386.61,36
