office,candidate,party,state,incumbency,result,total money,district
Representative Eleventh Suffolk,Elizabeth Malia,DEM,MA,Incumbent,Won-General,22216.16,nan
Representative First Hampshire,Peter Kocot,DEM,MA,Incumbent,Won-General,21097.5,nan
Representative Fourth Worcester,Claire Freda,UNENROLLED,MA,Open,Lost-General,20662.0,nan
Representative Third Barnstable,Carey Murphy,IND,MA,Challenger,Lost-General,19885.0,nan
Representative Eleventh Middlesex,Kay Khan,DEM,MA,Incumbent,Won-General,19753.0,nan
Representative Fifth Middlesex,David Paul Linsky,DEM,MA,Incumbent,Won-General,19628.71,nan
Representative First Barnstable,Cleon Turner,DEM,MA,Incumbent,Won-General,19605.0,nan
Representative Second Essex,Harriett Stanley,DEM,MA,Incumbent,Won-General,18301.69,nan
Representative Sixth Norfolk,William Galvin,DEM,MA,Incumbent,Won-General,18150.0,nan
Representative Fourth Bristol,Steven D Amico,DEM,MA,Incumbent,Won-General,17990.0,nan
Representative Fourth Plymouth,John Valianti,IND,MA,Open,Lost-General,17862.0,nan
Representative Fifth Worcester,Anne Gobi,DEM,MA,Incumbent,Won-General,17725.0,nan
Representative Tenth Essex,Robert Fennell,DEM,MA,Incumbent,Won-General,17574.0,nan
Representative Fourth Barnstable,Donald Howell,REP,MA,Challenger,Lost-General,16621.41,nan
Representative Nineteenth Middlesex,James Miceli,DEM,MA,Incumbent,Won-General,15748.51,nan
Representative Third Hampshire,Ellen Story,DEM,MA,Incumbent,Won-General,15365.34,nan
"Representative Barnstable, Dukes And Nantucket",Melissa Freitag,UNENROLLED,MA,Open,Lost-General,15149.34,nan
Senator Cape And Islands,Robert O'Leary,DEM,MA,Incumbent,Won-General,14943.59,nan
Representative Seventh Middlesex,Tom Sannicandro,DEM,MA,Incumbent,Won-General,14665.0,nan
Representative Sixth Essex,Mary Grant,DEM,MA,Incumbent,Won-General,14061.0,nan
Representative Twenty-Second Middlesex,Anthony Lucacio,REP,MA,Challenger,Lost-General,14023.0,nan
Representative Thirty-Sixth Middlesex,Colleen Garry,DEM,MA,Incumbent,Won-General,12830.0,nan
Representative Seventh Bristol,J Ferry,REP,MA,Challenger,Lost-General,12756.36,nan
Representative Seventh Worcester,Daniel Carpenter,DEM,MA,Challenger,Lost-General,12743.9,nan
Representative Fifth Worcester,Stephen Comtois II,REP,MA,Challenger,Lost-General,12560.24,nan
Representative Twenty-Seventh Middlesex,Denise Provost,DEM,MA,Incumbent,Won-General,12541.73,nan
Executive Councilor District 003,Marilyn Petitto Devaney,DEM,MA,Incumbent,Won-General,11582.0,nan
Representative First Franklin,Stephen Kulik,DEM,MA,Incumbent,Won-General,11292.34,nan
"Representative Barnstable, Dukes And Nantucket",Jacob Ferreira,IND,MA,Open,Lost-General,10927.07,nan
Representative Ninth Norfolk,Thomas Joseph Roache,IND,MA,Challenger,Lost-General,10695.21,nan
Representative Seventh Suffolk,Gloria Fox,DEM,MA,Incumbent,Won-General,10340.0,nan
Representative Third Hampden,Nicholas Boldyga,IND,MA,Challenger,Lost-General,9867.24,nan
Representative Twenty-Third Middlesex,Sean Garballey,DEM,MA,Incumbent,Won-General,8799.72,nan
Representative First Bristol,Devin Romanul,DEM,MA,Challenger,Lost-General,8712.44,nan
Representative Sixteenth Worcester,Mathew Taylor,IND,MA,Challenger,Lost-General,8613.25,nan
Executive Councilor District 008,Michael Franco,REP,MA,Challenger,Lost-General,8055.0,nan
Senator Second Bristol And Plymouth,Raimundo Delgado,DEM,MA,Challenger,Lost-General,7575.0,nan
Representative Fourth Middlesex,Joseph Valianti,IND,MA,Open,Lost-General,7230.19,nan
Representative Thirteenth Essex,Theodore Speliotis,DEM,MA,Incumbent,Won-General,6861.0,nan
Senator Hampshire And Franklin,Keith McCormic,REP,MA,Challenger,Lost-General,6712.9,nan
Executive Councilor District 005,Mary-Ellen Manning,DEM,MA,Incumbent,Won-General,5181.25,nan
Representative Fourth Hampden,Brian Hoose,DEM,MA,Challenger,Lost-General,4365.98,nan
Senator First Suffolk,Althea Garrison,IND,MA,Challenger,Lost-General,4093.86,nan
Representative Twentieth Middlesex,Claire Paradiso,DEM,MA,Challenger,Lost-General,4065.0,nan
Representative Eighth Bristol,Mike Raposa,OTHER,MA,Challenger,Lost-General,3512.0,nan
Representative Third Middlesex,David Goulding,IND,MA,Open,Lost-General,3446.8,nan
Representative Eighth Essex,John Blaisdell,REP,MA,Challenger,Lost-General,3025.0,nan
Representative Fifth Norfolk,Richard Moran,UNENROLLED,MA,Challenger,Lost-General,2636.85,nan
Representative First Plymouth,Jay Ferguson,DEM,MA,Challenger,Lost-General,2220.0,nan
Representative Ninth Suffolk,Byron Rushing,DEM,MA,Incumbent,Won-General,2000.0,nan
Representative Second Barnstable,Carl Yingling,IND,MA,Challenger,Lost-General,1595.46,nan
Representative Fourteenth Middlesex,Richard McClure,IND,MA,Challenger,Lost-General,1510.0,nan
Representative Second Franklin,Robert Parks,REP,MA,Challenger,Lost-General,616.14,nan
Representative Second Worcester,Carolyn Kamuda,UNENROLLED,MA,Challenger,Lost-General,526.68,nan
Representative Eighteenth Middlesex,Kenneth Patrician,UNENROLLED,MA,Challenger,Lost-General,259.0,nan
Representative Fourth Norfolk,Robert Montgomery Thomas,REP,MA,Challenger,Lost-General,0.49,nan
Senator Second Worcester,Steven Baer,OTHER,MA,Open,Lost-General,0.0,nan
Senator Second Suffolk,William Theodore Leonard,SOC,MA,Open,Lost-General,0.0,nan
Representative Fifteenth Essex,Joseph Leone III,IND,MA,Challenger,Lost-General,0.0,nan
Representative First Middlesex,Zachary Saboliauskas,IND,MA,Challenger,Lost-General,0.0,nan
Representative Tenth Hampden,George Vazquez,REP,MA,Challenger,Lost-General,0.0,nan
Executive Councilor District 007,Thomas Foley,DEM,MA,Incumbent,Won-General,0.0,nan
