office,candidate,party,state,incumbency,result,total money,district
State Representative,Mike Menahan,DEM,MT,Open,Won-General,21442.85,82
Public Service Commissioner District 003,Alan Olson,REP,MT,Open,Lost-General,20924.0,nan
Public Service Commissioner District 003,John Vincent,DEM,MT,Open,Won-General,20125.0,nan
State Representative,Peter Rosten,DEM,MT,Challenger,Lost-General,20115.66,87
State Representative,Scott Wheeler,DEM,MT,Challenger,Lost-General,19462.88,6
State Representative,Margaret Macdonald,DEM,MT,Open,Won-General,19411.27,54
State Representative,Krayton Kerns,REP,MT,Open,Won-General,19179.0,58
State Senator,Jack Sands,REP,MT,Open,Lost-General,18510.0,27
State Senator,Paul Clark,DEM,MT,Open,Lost-General,18185.92,7
State Representative,Patrick Boylan,DEM,MT,Challenger,Lost-General,18156.0,88
