Candidate,Party,State,Office,Incumbency,Result,Total Money
"UHLENKAMP, JAMES",DEMOCRATIC,IA,HOUSE DISTRICT 024,Challenger,Pending,15239.08
"STAED, ART",DEMOCRATIC,IA,HOUSE DISTRICT 066,Incumbent,Pending,14400.79
"KERR, DAVID",REPUBLICAN,IA,HOUSE DISTRICT 088,Incumbent,Pending,14242.00
"BALES, BRIAN B",REPUBLICAN,IA,SENATE DISTRICT 021,Open,Pending,14075.00
"BALDUCHI, KENT A",DEMOCRATIC,IA,HOUSE DISTRICT 030,Open,Pending,14045.00
"KACENA, TIMOTHY H (TIM)",DEMOCRATIC,IA,HOUSE DISTRICT 014,Incumbent,Pending,13861.17
"THOMPSON, JAKE RONALD",DEMOCRATIC,IA,HOUSE DISTRICT 010,Challenger,Pending,13792.13
"HOLT, STEVEN",REPUBLICAN,IA,HOUSE DISTRICT 018,Incumbent,Pending,13717.12
"MCCLIMON, TIM",DEMOCRATIC,IA,HOUSE DISTRICT 097,Challenger,Pending,13714.32
"STECKMAN, SHARON",DEMOCRATIC,IA,HOUSE DISTRICT 053,Incumbent,Pending,13613.00
"LIEGOIS, LAURA J",DEMOCRATIC,IA,HOUSE DISTRICT 091,Challenger,Pending,13600.92
"PRICHARD, TODD P",DEMOCRATIC,IA,HOUSE DISTRICT 052,Incumbent,Pending,13533.00
"GORMAN, STEVEN (STEVE)",DEMOCRATIC,IA,HOUSE DISTRICT 016,Challenger,Pending,13285.28
"LENSING, VICKI",DEMOCRATIC,IA,HOUSE DISTRICT 085,Incumbent,Pending,13215.64
"HITE, DUSTIN D",REPUBLICAN,IA,HOUSE DISTRICT 079,Open,Pending,13161.89
"PORTER, JAKE & GENTRY, LYNNE",LIBERTARIAN,IA,GOVERNOR / LIEUTENANT GOVERNOR,Challenger,Pending,12929.23
"MOMMSEN, NORLIN G",REPUBLICAN,IA,HOUSE DISTRICT 097,Incumbent,Pending,12725.60
"HORA, HEATHER",REPUBLICAN,IA,SENATE DISTRICT 039,Challenger,Pending,12591.00
"HEDDENS, LISA K",DEMOCRATIC,IA,HOUSE DISTRICT 046,Incumbent,Pending,12440.00
"MOATS, JASON",DEMOCRATIC,IA,HOUSE DISTRICT 084,Open,Pending,12155.84
"RUNNING-MARQUARDT, KIRSTEN",DEMOCRATIC,IA,HOUSE DISTRICT 069,Incumbent,Pending,11894.00
"SIMPSON, JEAN",DEMOCRATIC,IA,HOUSE DISTRICT 092,Challenger,Pending,11533.89
"THOMPSON, PHIL",REPUBLICAN,IA,HOUSE DISTRICT 047,Open,Pending,11429.75
"OLDSON, JO",DEMOCRATIC,IA,HOUSE DISTRICT 041,Incumbent,Pending,11400.00
"EGAN, LORI",DEMOCRATIC,IA,HOUSE DISTRICT 056,Open,Pending,11273.88
"DEYOE, DAVE",REPUBLICAN,IA,HOUSE DISTRICT 049,Incumbent,Pending,10950.00
"KRESSIG, ROBERT M (BOB)",DEMOCRATIC,IA,HOUSE DISTRICT 059,Incumbent,Pending,10638.00
"GUSTAFSON, GREGG",DEMOCRATIC,IA,HOUSE DISTRICT 019,Open,Pending,10555.00
"SALMON, SANDY",REPUBLICAN,IA,HOUSE DISTRICT 063,Incumbent,Pending,10487.00
"LARSON, KAREN A",DEMOCRATIC,IA,HOUSE DISTRICT 001,Challenger,Pending,10370.10
"JACOBSEN, JON A",REPUBLICAN,IA,HOUSE DISTRICT 022,Incumbent,Pending,10277.88
"BOAL, MICHAEL",REPUBLICAN,IA,HOUSE DISTRICT 043,Open,Pending,9808.32
"MEYER, BRIAN J",DEMOCRATIC,IA,HOUSE DISTRICT 033,Incumbent,Pending,9725.00
"HUGHES, LEANN L",REPUBLICAN,IA,HOUSE DISTRICT 015,Challenger,Pending,9078.71
"DAUBITZ, TERESA",REPUBLICAN,IA,HOUSE DISTRICT 066,Challenger,Pending,9052.50
"BRINK, HOLLY",REPUBLICAN,IA,HOUSE DISTRICT 080,Open,Pending,8780.32
"WOLFE, MARY LYNN",DEMOCRATIC,IA,HOUSE DISTRICT 098,Incumbent,Pending,8776.74
"NIELSEN, AMY M",DEMOCRATIC,IA,HOUSE DISTRICT 077,Incumbent,Pending,8601.00
"MITCHELL, JOE",REPUBLICAN,IA,HOUSE DISTRICT 084,Open,Pending,8565.00
"DOLECHECK, CECIL",REPUBLICAN,IA,HOUSE DISTRICT 024,Incumbent,Pending,8395.00
"GOODWIN, TIM",REPUBLICAN,IA,HOUSE DISTRICT 087,Challenger,Pending,8161.00
"JENSEN, DEBRA",DEMOCRATIC,IA,HOUSE DISTRICT 007,Challenger,Pending,8152.34
"WINTER, TIM",DEMOCRATIC,IA,HOUSE DISTRICT 048,Challenger,Pending,8007.19
"GASKILL, MARY",DEMOCRATIC,IA,HOUSE DISTRICT 081,Incumbent,Pending,7874.74
"RAY, RANDY",REPUBLICAN,IA,HOUSE DISTRICT 068,Open,Pending,7840.57
"RASMUSSEN, ANDREW",DEMOCRATIC,IA,HOUSE DISTRICT 037,Challenger,Pending,7821.53
"HILLYARD, LANNY",DEMOCRATIC,IA,HOUSE DISTRICT 088,Challenger,Pending,7695.00
"WHEELER, SKYLER",REPUBLICAN,IA,HOUSE DISTRICT 004,Incumbent,Pending,7666.23
"COHOON, DENNIS M",DEMOCRATIC,IA,HOUSE DISTRICT 087,Incumbent,Pending,7659.01
"SNODGRASS, REBEL",REPUBLICAN,IA,HOUSE DISTRICT 026,Challenger,Pending,7540.76
"JENEARY, THOMAS",REPUBLICAN,IA,HOUSE DISTRICT 005,Open,Pending,7170.94
"BROWN-POWERS, TIMI",DEMOCRATIC,IA,HOUSE DISTRICT 061,Incumbent,Pending,7044.77
