Candidate,Party,State,Office,Incumbency,Result,Total Money
"BENNETT, TONY",REPUBLICAN,IN,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Won-General,308327.27
"HEATON, ROBERT (BOB)",REPUBLICAN,IN,HOUSE DISTRICT 046,Challenger,Lost-General,301639.36
"TINCHER, VERN",DEMOCRATIC,IN,HOUSE DISTRICT 046,Incumbent,Won-General,278730.53
"GASKILL, KELLY S",REPUBLICAN,IN,HOUSE DISTRICT 037,Challenger,Lost-General,266513.08
"HARRIS, TIMOTHY W",REPUBLICAN,IN,HOUSE DISTRICT 031,Incumbent,Lost-General,256507.13
"DAVIS, BILL J",REPUBLICAN,IN,HOUSE DISTRICT 033,Incumbent,Won-General,236656.12
"BURGER, JOHN G",DEMOCRATIC,IN,HOUSE DISTRICT 063,Open,Lost-General,230285.39
"HEAD, RANDALL",REPUBLICAN,IN,SENATE DISTRICT 018,Open,Won-General,229294.43
"BALMER, LARRY W",DEMOCRATIC,IN,SENATE DISTRICT 005,Challenger,Lost-General,206008.61
"GARD, BEVERLY J",REPUBLICAN,IN,SENATE DISTRICT 028,Incumbent,Won-General,200364.63
"SIMPSON, VI",DEMOCRATIC,IN,SENATE DISTRICT 040,Incumbent,Won-General,198241.83
"FRY, CRAIG RAYMOND",DEMOCRATIC,IN,HOUSE DISTRICT 005,Incumbent,Won-General,197858.57
"MEEKS, ROBERT L",REPUBLICAN,IN,SENATE DISTRICT 013,Incumbent,Withdrew-General,195462.52
"STROUTH, J D",REPUBLICAN,IN,HOUSE DISTRICT 075,Challenger,Lost-General,194715.98
"STEELE, BRENT",REPUBLICAN,IN,SENATE DISTRICT 044,Incumbent,Won-General,184776.77
"DEMBOWSKI, NANCY",DEMOCRATIC,IN,HOUSE DISTRICT 017,Incumbent,Won-General,183685.28
"WALTZ, BRENT",REPUBLICAN,IN,SENATE DISTRICT 036,Incumbent,Won-General,182181.34
"BLANTON, SANDRA",DEMOCRATIC,IN,HOUSE DISTRICT 062,Incumbent,Won-General,163806.78
"HERSHMAN, BRANDT",REPUBLICAN,IN,SENATE DISTRICT 007,Incumbent,Won-General,163620.00
"CLERE, EDWARD D (ED)",REPUBLICAN,IN,HOUSE DISTRICT 072,Challenger,Won-General,163390.22
"MILLER, PATRICIA",REPUBLICAN,IN,SENATE DISTRICT 032,Incumbent,Won-General,156968.81
"CROUCH, SUZANNE M",REPUBLICAN,IN,HOUSE DISTRICT 078,Incumbent,Won-General,156421.00
"BORROR, RANDY L",REPUBLICAN,IN,HOUSE DISTRICT 084,Incumbent,Won-General,152638.22
"LAWSON, CONNIE",REPUBLICAN,IN,SENATE DISTRICT 024,Incumbent,Won-General,150421.20
"AUSTIN, TERRI JO",DEMOCRATIC,IN,HOUSE DISTRICT 036,Incumbent,Won-General,141330.26
"THOMAS, AMOS P",REPUBLICAN,IN,HOUSE DISTRICT 044,Incumbent,Lost-General,140784.99
