Candidate,Party,State,Office,Incumbency,Result,Total Money
"FERRARY, JOANNE JEAN",DEMOCRATIC,NM,HOUSE DISTRICT 037,Incumbent,Lost-General,148051.58
"FAJARDO, KELLY K",REPUBLICAN,NM,HOUSE DISTRICT 007,Incumbent,Won-General,140627.95
"ARCHULETA, PHILLIP M",DEMOCRATIC,NM,HOUSE DISTRICT 036,Incumbent,Lost-General,136827.60
"BEGAYE, CATHERINE A",DEMOCRATIC,NM,HOUSE DISTRICT 023,Challenger,Lost-General,135997.76
"PACHEO, PAUL A",REPUBLICAN,NM,HOUSE DISTRICT 023,Incumbent,Won-General,128123.06
"MCMILLAN, TERRY H",REPUBLICAN,NM,HOUSE DISTRICT 037,Challenger,Won-General,127359.26
"JAMES, CONRAD D",REPUBLICAN,NM,HOUSE DISTRICT 024,Challenger,Won-General,124337.21
"DE CHERIF, TERESA SMITH",DEMOCRATIC,NM,HOUSE DISTRICT 007,Challenger,Lost-General,122632.82
"MCQUEEN, MATTHEW",DEMOCRATIC,NM,HOUSE DISTRICT 050,Open,Won-General,119771.17
"MARTINEZ, WALTER KEN",DEMOCRATIC,NM,HOUSE DISTRICT 069,Incumbent,Won-General,111050.00
"BYRD, JEFFERSON LEE",REPUBLICAN,NM,US HOUSE DISTRICT NM 003,Challenger,Lost-General,109140.11
"CLAHCHISCHILLIAGE, SHARON",REPUBLICAN,NM,HOUSE DISTRICT 004,Incumbent,Won-General,103540.18
"TRUJILLO, CARL P",DEMOCRATIC,NM,HOUSE DISTRICT 046,Incumbent,Won-General,103469.00
"NUNEZ, ANDREW (ANDY)",REPUBLICAN,NM,HOUSE DISTRICT 036,Challenger,Won-General,101914.40
"PEREA, VICKIE S",REPUBLICAN,NM,HOUSE DISTRICT 050,Open,Lost-General,94811.95
"BALDONADO, ALONZO",REPUBLICAN,NM,HOUSE DISTRICT 008,Incumbent,Won-General,90947.31
"LUNDSTROM, PATRICIA A (PATTY)",DEMOCRATIC,NM,HOUSE DISTRICT 009,Incumbent,Won-General,86971.16
"RODGERS, GEOFF M",REPUBLICAN,NM,HOUSE DISTRICT 043,Challenger,Lost-General,81615.79
"MAESTAS, ANTONIO (MOE)",DEMOCRATIC,NM,HOUSE DISTRICT 016,Incumbent,Won-General,79342.88
"JONES, SANDY R",DEMOCRATIC,NM,PUBLIC REGULATION COMMISSION DISTRICT 005,Challenger,Won-General,78746.95
"ANDERSON, JOSH R",DEMOCRATIC,NM,HOUSE DISTRICT 020,Open,Lost-General,76609.53
"EGOLF JR, BRIAN FRANKLIN",DEMOCRATIC,NM,HOUSE DISTRICT 047,Incumbent,Won-General,76360.00
"LITTLE, RICKY L",REPUBLICAN,NM,HOUSE DISTRICT 053,Open,Won-General,74203.17
"TOWNSEND, JAMES G (JIM)",REPUBLICAN,NM,HOUSE DISTRICT 054,Open,Won-General,72650.00
"TODACHEENE, HARRISON",DEMOCRATIC,NM,HOUSE DISTRICT 004,Challenger,Lost-General,69538.02
"HALL, BEN L",REPUBLICAN,NM,PUBLIC REGULATION COMMISSION DISTRICT 005,Incumbent,Lost-General,68274.28
"COFFEY JR, ROBERT M",DEMOCRATIC,NM,HOUSE DISTRICT 030,Challenger,Lost-General,65845.51
"DINES, JAMES MITCHELL (JIM)",REPUBLICAN,NM,HOUSE DISTRICT 020,Open,Won-General,64332.84
"BROWN, CATHRYNN NOVICH",REPUBLICAN,NM,HOUSE DISTRICT 055,Incumbent,Won-General,61380.00
"LOVEJOY, LYNDA M",DEMOCRATIC,NM,PUBLIC REGULATION COMMISSION DISTRICT 004,Open,Won-General,59685.40
"RODELLA, DEBBIE A",DEMOCRATIC,NM,HOUSE DISTRICT 041,Incumbent,Won-General,57533.88
"LOPEZ, RICK J",REPUBLICAN,NM,TREASURER,Open,Lost-General,57138.57
"HARPER, JASON CARL",REPUBLICAN,NM,HOUSE DISTRICT 057,Incumbent,Won-General,55874.12
"GOMEZ, BEALQUIN BILL",DEMOCRATIC,NM,HOUSE DISTRICT 034,Open,Won-General,55219.01
"COOK, ZACHARY J (ZACH)",REPUBLICAN,NM,HOUSE DISTRICT 056,Incumbent,Won-General,55195.21
"ESPINOZA, NORA LEE",REPUBLICAN,NM,HOUSE DISTRICT 059,Incumbent,Won-General,54684.36
"JOHNSON, DOREEN WONDA",DEMOCRATIC,NM,HOUSE DISTRICT 005,Challenger,Won-General,48953.95
"HAMILTON, DIANNE",REPUBLICAN,NM,HOUSE DISTRICT 038,Incumbent,Won-General,48151.81
"MONTOYA, RODNEY D (ROD)",REPUBLICAN,NM,HOUSE DISTRICT 001,Open,Won-General,47431.82
"MADALENA, JAMES ROGER",DEMOCRATIC,NM,HOUSE DISTRICT 065,Incumbent,Won-General,47407.07
"MARTINEZ, RODOLPHO S",DEMOCRATIC,NM,HOUSE DISTRICT 039,Incumbent,Lost-General,47258.28
"JOHNSON, MARIAELENA",DEMOCRATIC,NM,HOUSE DISTRICT 053,Open,Lost-General,46599.02
"LYONS, PATRICK HILLER",REPUBLICAN,NM,PUBLIC REGULATION COMMISSION DISTRICT 002,Incumbent,Won-General,44575.00
"IRWIN, DONA G",DEMOCRATIC,NM,HOUSE DISTRICT 032,Incumbent,Won-General,44525.00
"MARTINEZ, JAVIER I",DEMOCRATIC,NM,HOUSE DISTRICT 011,Open,Won-General,43678.45
"JEFF, SANDRA D",DEMOCRATIC WRITEIN,NM,HOUSE DISTRICT 005,Incumbent,Lost-General,43440.82
"ADKINS, DAVID EDWARD",REPUBLICAN,NM,HOUSE DISTRICT 029,Open,Won-General,41319.19
"ZIMMERMAN, JOHN L",REPUBLICAN,NM,HOUSE DISTRICT 039,Challenger,Won-General,40707.07
"LUEVANO JR, JOHNNY F",REPUBLICAN,NM,HOUSE DISTRICT 016,Challenger,Lost-General,37606.53
"ARMSTRONG, DEBORAH A (DEBBIE)",DEMOCRATIC,NM,HOUSE DISTRICT 017,Open,Won-General,36090.14
"SMITH, JAMES E (JIM)",REPUBLICAN,NM,HOUSE DISTRICT 022,Incumbent,Won-General,35615.87
"GONZALES, ROBERTO J (BOBBY)",DEMOCRATIC,NM,HOUSE DISTRICT 042,Incumbent,Won-General,33295.00
"CHASEY, GAIL",DEMOCRATIC,NM,HOUSE DISTRICT 018,Incumbent,Won-General,32930.00
"TRIPP JR, DONALD L (DON)",REPUBLICAN,NM,HOUSE DISTRICT 049,Incumbent,Won-General,32370.00
"LEWIS, TIMOTHY DWIGHT (TIM)",REPUBLICAN,NM,HOUSE DISTRICT 060,Incumbent,Won-General,32125.62
"LOUIS, GEORGENE M",DEMOCRATIC,NM,HOUSE DISTRICT 026,Incumbent,Won-General,30945.00
