Candidate,Party,State,Office,Incumbency,Result,Total Money
"MCGINNIS, JOHN D",REPUBLICAN,PA,HOUSE DISTRICT 079,Incumbent,Won-General,8280.00
"SHUTSA, JUANITA KAY",DEMOCRATIC,PA,HOUSE DISTRICT 006,Challenger,Lost-General,8216.02
"SIDDIQUI, MOHAMMAD SAUD",REPUBLICAN,PA,HOUSE DISTRICT 164,Challenger,Lost-General,8055.00
"SANGUINITO, BRYAN",DEMOCRATIC,PA,HOUSE DISTRICT 099,Open,Lost-General,8054.23
"CANGEY, GARY J",REPUBLICAN,PA,HOUSE DISTRICT 009,Challenger,Lost-General,7570.99
"HANSON, WAYNE E",DEMOCRATIC,PA,HOUSE DISTRICT 017,Open,Lost-General,7484.40
"THOMPSON, LINDA DELIAH",DEMOCRATIC,PA,US HOUSE DISTRICT PA 004,Challenger,Lost-General,7468.90
"OSTROWSKI, ANDREW JOSEPH",DEMOCRATIC,PA,US HOUSE DISTRICT PA 011,Challenger,Lost-General,7425.00
"BROWNLEE, MICHELLE F",DEMOCRATIC,PA,HOUSE DISTRICT 195,Incumbent,Won-General,7175.00
"FREEMAN, ROBERT",DEMOCRATIC,PA,HOUSE DISTRICT 136,Incumbent,Won-General,6250.10
"RAMOS SANTOS, STEVEN",REPUBLICAN,PA,HOUSE DISTRICT 022,Open,Lost-General,6247.32
"CAIN, PAUL",DEMOCRATIC,PA,HOUSE DISTRICT 015,Challenger,Lost-General,5875.63
"THOMAS, IAN ANDREWS",DEMOCRATIC,PA,HOUSE DISTRICT 168,Challenger,Withdrew-General,5505.50
"FELTON JR, WALTER",DEMOCRATIC,PA,SENATE DISTRICT 016,Challenger,Lost-General,4940.00
"HAYES, KRISTEN MARIE",DEMOCRATIC,PA,HOUSE DISTRICT 084,Challenger,Lost-General,4675.00
"ENGLISH, HAROLD A (HAL)",REPUBLICAN,PA,HOUSE DISTRICT 030,Incumbent,Won-General,4550.00
"GILLEN, MARK M",REPUBLICAN,PA,HOUSE DISTRICT 128,Incumbent,Won-General,4387.24
"RUTH, JONATHAN A",DEMOCRATIC,PA,HOUSE DISTRICT 068,Challenger,Lost-General,4030.00
