Candidate,Party,State,Office,Incumbency,Result,Total Money
"CURTIS, AMANDA",DEMOCRATIC,MT,HOUSE DISTRICT 074,Open,Won-General,4252.56
"KNUDSEN, CASEY",REPUBLICAN,MT,HOUSE DISTRICT 033,Open,Won-General,4232.51
"JONES, DONALD W",REPUBLICAN,MT,HOUSE DISTRICT 046,Incumbent,Won-General,4146.94
"ROMINGER, RYAN A",DEMOCRATIC,MT,HOUSE DISTRICT 027,Open,Lost-General,4019.51
"BRODEHL, RANDY",REPUBLICAN,MT,HOUSE DISTRICT 009,Incumbent,Won-General,3900.00
"TREBAS, JEREMY",REPUBLICAN,MT,HOUSE DISTRICT 025,Open,Won-General,3864.62
"OHARA, JAMES",REPUBLICAN,MT,HOUSE DISTRICT 027,Open,Won-General,3845.00
"REGIER, MATTHEW K (MATT)",REPUBLICAN,MT,HOUSE DISTRICT 004,Open,Won-General,3765.00
"HAMLETT, BRADLEY M",DEMOCRATIC,MT,HOUSE DISTRICT 023,Open,Won-General,3750.00
"WAGONER, KIRK B",REPUBLICAN,MT,HOUSE DISTRICT 075,Incumbent,Won-General,3580.00
"CLAGUE, VALERIE J",INDEPENDENT,MT,HOUSE DISTRICT 080,Open,Lost-General,3556.92
"CUSTER, GERALDINE",REPUBLICAN,MT,HOUSE DISTRICT 039,Incumbent,Won-General,3532.94
"GLIMM, CARL",REPUBLICAN,MT,HOUSE DISTRICT 006,Incumbent,Won-General,3502.95
"HUNTER, BENJAMIN",REPUBLICAN,MT,HOUSE DISTRICT 049,Challenger,Lost-General,3433.29
"CARLISLE, EVELYN",DEMOCRATIC,MT,HOUSE DISTRICT 034,Challenger,Lost-General,3325.00
"DUNN, MARK A",REPUBLICAN,MT,HOUSE DISTRICT 023,Open,Lost-General,3261.54
"PIERSON JR, GORDON",DEMOCRATIC,MT,HOUSE DISTRICT 078,Incumbent,Won-General,3216.00
"OLSON, SUE M",DEMOCRATIC,MT,HOUSE DISTRICT 040,Open,Lost-General,3162.52
"KEANE, JIM",DEMOCRATIC,MT,HOUSE DISTRICT 073,Open,Won-General,3154.00
"DURLEY, DRYN",DEMOCRATIC,MT,HOUSE DISTRICT 029,Open,Lost-General,3119.32
"ELLSWORTH, MICHAEL",REPUBLICAN,MT,HOUSE DISTRICT 098,Challenger,Lost-General,3010.00
"LAVIN, STEVE A",REPUBLICAN,MT,HOUSE DISTRICT 008,Incumbent,Won-General,2997.94
"SESSO, JON C",DEMOCRATIC,MT,SENATE DISTRICT 037,Incumbent,Won-General,2965.00
"OLSEN, ELAINE G",DEMOCRATIC,MT,HOUSE DISTRICT 019,Open,Lost-General,2957.00
"OLSEN, JAMES R",DEMOCRATIC,MT,SENATE DISTRICT 044,Challenger,Lost-General,2913.75
"CUFFE, MICHAEL J",REPUBLICAN,MT,HOUSE DISTRICT 002,Incumbent,Won-General,2870.00
"FERDERER, ALBERT J",DEMOCRATIC,MT,HOUSE DISTRICT 022,Open,Lost-General,2741.48
"SWANSON, KATHY",DEMOCRATIC,MT,HOUSE DISTRICT 077,Incumbent,Won-General,2725.00
"MANZELLA, THERESA M",REPUBLICAN,MT,HOUSE DISTRICT 085,Incumbent,Won-General,2708.26
"RAPPLEYE, C PAIGE",DEMOCRATIC,MT,HOUSE DISTRICT 008,Challenger,Lost-General,2666.50
"NOLAND, MARK R",REPUBLICAN,MT,HOUSE DISTRICT 010,Incumbent,Won-General,2663.00
"LYNCH, RYAN",DEMOCRATIC,MT,HOUSE DISTRICT 076,Incumbent,Won-General,2655.00
"MCCONNELL, NATE",DEMOCRATIC,MT,HOUSE DISTRICT 089,Incumbent,Won-General,2574.00
"VUCKOVICH, GENE W",DEMOCRATIC,MT,SENATE DISTRICT 039,Incumbent,Won-General,2570.00
"SMITH, FRANK J",DEMOCRATIC,MT,SENATE DISTRICT 016,Open,Won-General,2540.00
"ROSENBAUM, GLENN J",REPUBLICAN,MT,SENATE DISTRICT 038,Open,Lost-General,2505.00
"PUMMILL, ADAM S",REPUBLICAN,MT,SENATE DISTRICT 046,Challenger,Lost-General,2490.00
"JACOBSON, TOM",DEMOCRATIC,MT,HOUSE DISTRICT 021,Incumbent,Won-General,2475.46
"CUNDIFF, SUSAN",REPUBLICAN,MT,HOUSE DISTRICT 099,Open,Lost-General,2306.27
"HUME, SASHIN",REPUBLICAN,MT,SENATE DISTRICT 045,Challenger,Lost-General,2285.00
"ADOLPHSON, DOUGLAS",DEMOCRATIC,MT,SENATE DISTRICT 017,Open,Lost-General,2124.37
"GRAYBEAL, KERRY A",REPUBLICAN,MT,HOUSE DISTRICT 077,Challenger,Lost-General,2110.00
"COX, LANCE",REPUBLICAN,MT,HOUSE DISTRICT 094,Challenger,Lost-General,2032.31
"ABBEY, DEBORAH",DEMOCRATIC,MT,SENATE DISTRICT 028,Open,Lost-General,2018.47
"BROWN, ROBERT J",REPUBLICAN,MT,HOUSE DISTRICT 013,Incumbent,Won-General,2005.00
"NORDWICK, SUZZANN",REPUBLICAN,MT,SENATE DISTRICT 039,Challenger,Lost-General,1949.26
"SMITH, BRIDGET",DEMOCRATIC,MT,HOUSE DISTRICT 031,Incumbent,Won-General,1840.00
"MURRAY, BILL",REPUBLICAN,MT,HOUSE DISTRICT 090,Challenger,Lost-General,1819.00
"HAYMAN, DENISE",DEMOCRATIC,MT,HOUSE DISTRICT 066,Incumbent,Won-General,1785.00
"CRABTREE, MIKE",DEMOCRATIC,MT,HOUSE DISTRICT 058,Challenger,Lost-General,1765.00
"WOODS, THOMAS D",DEMOCRATIC,MT,HOUSE DISTRICT 062,Incumbent,Won-General,1756.47
"HILL SMITH, ELLIE BOLDMAN",DEMOCRATIC,MT,HOUSE DISTRICT 090,Incumbent,Won-General,1680.00
"ELLISON, CHASE",DEMOCRATIC,MT,HOUSE DISTRICT 064,Challenger,Lost-General,1643.11
"DANIELS, JOSH",LIBERTARIAN,MT,HOUSE DISTRICT 043,Open,Lost-General,1585.00
"ARNOLD, RYAN",DEMOCRATIC,MT,HOUSE DISTRICT 055,Challenger,Lost-General,1561.85
"PEPPERS, PATRICIA RAE",DEMOCRATIC,MT,HOUSE DISTRICT 041,Incumbent,Won-General,1540.00
"RUDDY, MIKE",DEMOCRATIC,MT,HOUSE DISTRICT 036,Challenger,Lost-General,1473.49
"WEBBER, SUSAN A",DEMOCRATIC,MT,HOUSE DISTRICT 016,Incumbent,Won-General,1445.07
"JURMU, JOHN",DEMOCRATIC,MT,HOUSE DISTRICT 067,Challenger,Lost-General,1376.99
"RAAEN, WILLIAM",REPUBLICAN,MT,HOUSE DISTRICT 024,Challenger,Lost-General,1203.70
"EVANS, SUSAN",DEMOCRATIC,MT,HOUSE DISTRICT 012,Challenger,Lost-General,1153.00
"BUCKLEY, ANGIE",DEMOCRATIC,MT,HOUSE DISTRICT 046,Challenger,Lost-General,1076.10
"KRIGSVOLD, ALEX",REPUBLICAN,MT,HOUSE DISTRICT 089,Challenger,Lost-General,1070.00
"ANDES, DAVID K",DEMOCRATIC,MT,HOUSE DISTRICT 068,Open,Lost-General,992.00
"TEMPLET, DARYL L",DEMOCRATIC,MT,HOUSE DISTRICT 056,Open,Lost-General,925.00
"COOPER SR, MICHAEL K",REPUBLICAN,MT,HOUSE DISTRICT 026,Open,Lost-General,870.00
"KIPP III, GEORGE G",DEMOCRATIC,MT,HOUSE DISTRICT 015,Incumbent,Won-General,710.00
"STEWART-PEREGOY, SHARON",DEMOCRATIC,MT,HOUSE DISTRICT 042,Open,Won-General,680.00
"HAARSTICK, STEVE",DEMOCRATIC,MT,HOUSE DISTRICT 001,Open,Lost-General,662.60
"KENAT, BRIAN L",REPUBLICAN,MT,HOUSE DISTRICT 049,Challenger,Withdrew-General,585.00
"KING, JIM",REPUBLICAN,MT,HOUSE DISTRICT 063,Challenger,Lost-General,554.50
"BONAR, PAULA",LIBERTARIAN,MT,HOUSE DISTRICT 084,Challenger,Lost-General,510.00
"HANSON, SHANNON",LIBERTARIAN,MT,HOUSE DISTRICT 006,Challenger,Disqualified-General,380.00
"YOUNG, A JO",DEMOCRATIC,MT,HOUSE DISTRICT 085,Challenger,Lost-General,345.12
"MACLEAN, BRITTANY",DEMOCRATIC,MT,HOUSE DISTRICT 009,Challenger,Lost-General,320.00
"VAN TRICHT, PAUL J",DEMOCRATIC,MT,SENATE DISTRICT 023,Open,Lost-General,230.00
"SWANSON, JAMES",INDEPENDENT,MT,HOUSE DISTRICT 010,Challenger,Lost-General,222.10
"FORCIER, ANDREW T",LIBERTARIAN,MT,HOUSE DISTRICT 057,Challenger,Lost-General,171.88
"TRUMPOWER, CHRIS",DEMOCRATIC,MT,HOUSE DISTRICT 035,Challenger,Lost-General,150.00
"MALONEY, PATRICK THOMAS",DEMOCRATIC,MT,HOUSE DISTRICT 097,Challenger,Withdrew-General,100.00
"MAGIN, DEBORAH L",DEMOCRATIC,MT,SENATE DISTRICT 010,Open,Lost-General,100.00
"SLOAN, EDITH",DEMOCRATIC,MT,HOUSE DISTRICT 040,Open,Withdrew-General,86.70
"HARTZELL, HERBERT",DEMOCRATIC,MT,HOUSE DISTRICT 018,Challenger,Withdrew-General,50.00
"MOSOLF, MIKE",DEMOCRATIC,MT,HOUSE DISTRICT 072,Open,Lost-General,50.00
"DUNHAM, ERIC",DEMOCRATIC,MT,HOUSE DISTRICT 069,Open,Lost-General,26.00
"MOTTA, RICHARD",LIBERTARIAN,MT,SENATE DISTRICT 039,Challenger,Lost-General,3.00
"MILLER, BRUCE",DEMOCRATIC,MT,HOUSE DISTRICT 039,Challenger,Lost-General,0.00
