Candidate,Party,State,Office,Incumbency,Result,Total Money
"PETTERSEN, BRITTANY",DEMOCRATIC,CO,HOUSE DISTRICT 028,Incumbent,Won-General,138642.22
"GRAY, MATTHEW O (MATT)",DEMOCRATIC,CO,HOUSE DISTRICT 033,Open,Won-General,136703.57
"CROWDER, LARRY W",REPUBLICAN,CO,SENATE DISTRICT 035,Incumbent,Won-General,136138.57
"EXUM SR, THOMAS (TONY)",DEMOCRATIC,CO,HOUSE DISTRICT 017,Challenger,Won-General,134055.95
"BROWN, KATY",REPUBLICAN,CO,HOUSE DISTRICT 003,Open,Lost-General,132110.12
"WILLIAMS, ANGELA",DEMOCRATIC,CO,SENATE DISTRICT 033,Open,Won-General,130510.39
"COURT, LOIS",DEMOCRATIC,CO,SENATE DISTRICT 031,Open,Won-General,130422.24
"KRAFT-THARP, TRACY A",DEMOCRATIC,CO,HOUSE DISTRICT 029,Incumbent,Won-General,128455.31
"SMALLWOOD JR, JAMES CALLAWAY (JIM)",REPUBLICAN,CO,SENATE DISTRICT 004,Open,Won-General,121819.85
"FIELDS, RHONDA",DEMOCRATIC,CO,SENATE DISTRICT 029,Open,Won-General,119730.88
"GARDNER, ROBERT S (BOB)",REPUBLICAN,CO,SENATE DISTRICT 012,Open,Won-General,112813.50
"YOUNG, DAVID L (DAVE)",DEMOCRATIC,CO,HOUSE DISTRICT 050,Incumbent,Won-General,112684.44
"MICHAELSON JENET, DAFNA",DEMOCRATIC,CO,HOUSE DISTRICT 030,Challenger,Won-General,107671.66
"LEE, SANFORD E (PETE)",DEMOCRATIC,CO,HOUSE DISTRICT 018,Incumbent,Won-General,102569.30
"DURAN, CRISANTA D",DEMOCRATIC,CO,HOUSE DISTRICT 005,Incumbent,Won-General,99988.16
"TRACY, EMILY",DEMOCRATIC,CO,SENATE DISTRICT 008,Challenger,Lost-General,99281.44
"ROUPE, KIT",REPUBLICAN,CO,HOUSE DISTRICT 017,Incumbent,Lost-General,99109.30
"TODD, NANCY J",DEMOCRATIC,CO,SENATE DISTRICT 028,Incumbent,Won-General,96042.61
"HAMNER, MILLIE ANNE",DEMOCRATIC,CO,HOUSE DISTRICT 061,Incumbent,Won-General,94518.06
"BUCKNER, JANET P",DEMOCRATIC,CO,HOUSE DISTRICT 040,Incumbent,Won-General,93781.52
"WEISSMAN, MIKE",DEMOCRATIC,CO,HOUSE DISTRICT 036,Open,Won-General,93280.61
"LISTON, LARRY",REPUBLICAN,CO,HOUSE DISTRICT 016,Open,Won-General,92890.00
"KEFALAS, JOHN MICHAEL",DEMOCRATIC,CO,SENATE DISTRICT 014,Incumbent,Won-General,92446.00
"STORY, TAMARA",DEMOCRATIC,CO,HOUSE DISTRICT 025,Challenger,Lost-General,91432.33
"BAUMGARDNER, RANDY L",REPUBLICAN,CO,SENATE DISTRICT 008,Incumbent,Won-General,88174.82
"NAVARRO-RATZLAFF, CLARICE",REPUBLICAN,CO,HOUSE DISTRICT 047,Incumbent,Won-General,86050.63
"TATE, JOHN A (JACK)",REPUBLICAN,CO,SENATE DISTRICT 027,Incumbent,Won-General,85826.33
"MITSCH BUSH, DIANE E",DEMOCRATIC,CO,HOUSE DISTRICT 026,Incumbent,Won-General,74163.00
"DANIELSON, JESSIE",DEMOCRATIC,CO,HOUSE DISTRICT 024,Incumbent,Won-General,73717.21
"LEWIS, KIMMI JOAN",REPUBLICAN,CO,HOUSE DISTRICT 064,Open,Won-General,72922.80
"GINAL, JOANN",DEMOCRATIC,CO,HOUSE DISTRICT 052,Incumbent,Won-General,70751.65
"CASIAS, JAMES W (JIM)",DEMOCRATIC,CO,SENATE DISTRICT 035,Challenger,Lost-General,65295.00
"SANDGREN, JESSICA",REPUBLICAN,CO,HOUSE DISTRICT 031,Challenger,Lost-General,65059.05
"SEAY, BOB",DEMOCRATIC,CO,US HOUSE DISTRICT CO 004,Challenger,Lost-General,64886.37
"WINTER, FAITH K",DEMOCRATIC,CO,HOUSE DISTRICT 035,Incumbent,Won-General,62390.00
"LEONARD, TIM",REPUBLICAN,CO,HOUSE DISTRICT 025,Incumbent,Won-General,62156.02
"STOCKHAM, CHARLES (CASPER)",REPUBLICAN,CO,US HOUSE DISTRICT CO 001,Challenger,Lost-General,61212.79
"MADDEN, ALICE",DEMOCRATIC,CO,BOARD OF REGENTS,Open,Lost-General,61088.33
"FENBERG, STEPHEN (STEVE)",DEMOCRATIC,CO,SENATE DISTRICT 018,Open,Won-General,60876.55
"JACKSON, DOMINIQUE",DEMOCRATIC,CO,HOUSE DISTRICT 042,Open,Won-General,59236.05
"COLEMAN, JAMES RASHAD",DEMOCRATIC,CO,HOUSE DISTRICT 007,Open,Won-General,53471.33
"MCCLELLAN, REBECCA LANDIS",DEMOCRATIC,CO,BOARD OF EDUCATION DISTRICT 006,Challenger,Won-General,53454.68
"MCKEAN, HUGH",REPUBLICAN,CO,HOUSE DISTRICT 051,Open,Won-General,53371.80
"ATHANASOPOULOS, GEORGE",REPUBLICAN,CO,US HOUSE DISTRICT CO 007,Challenger,Lost-General,52978.60
"MORENO, DOMINICK ANSELMO",DEMOCRATIC,CO,SENATE DISTRICT 021,Open,Won-General,52968.85
"SINGER, JONATHAN STUART",DEMOCRATIC,CO,HOUSE DISTRICT 011,Incumbent,Won-General,52877.56
"LANDGRAF, LOIS",REPUBLICAN,CO,HOUSE DISTRICT 021,Incumbent,Won-General,50561.42
