Candidate,Party,State,Office,Incumbency,Result,Total Money
"MACE, JAMES MICHAEL",DEMOCRATIC,ID,SENATE DISTRICT 020,Challenger,Withdrew-General,3304.00
"KREISER, CRAIG R",DEMOCRATIC,ID,HOUSE DISTRICT 021-POSITION A,Open,Lost-General,3140.00
"MURPHY, NATE",DEMOCRATIC,ID,HOUSE DISTRICT 029-POSITION A,Open,Withdrew-General,3045.00
"CLARK, BARBARA ANN",DEMOCRATIC,ID,HOUSE DISTRICT 031-POSITION A,Open,Lost-General,2989.38
"JAMES, JEANNIE M",DEMOCRATIC,ID,HOUSE DISTRICT 031-POSITION B,Open,Lost-General,2785.00
"CHISHOLM, BILL",INDEPENDENT,ID,SENATE DISTRICT 023,Challenger,Lost-General,2434.32
"LERANDEAU, NANCY M",DEMOCRATIC,ID,HOUSE DISTRICT 007-POSITION B,Challenger,Lost-General,2374.64
"KELLER, RICHARD",DEMOCRATIC,ID,HOUSE DISTRICT 015-POSITION A,Challenger,Lost-General,2284.47
"SHOTSWELL, CINDY",DEMOCRATIC,ID,HOUSE DISTRICT 025-POSITION B,Open,Lost-General,2225.00
"DUCOTE JR, WARREN A",DEMOCRATIC,ID,SENATE DISTRICT 004,Challenger,Lost-General,2223.02
"ZALESKI, ERIN",DEMOCRATIC,ID,HOUSE DISTRICT 021-POSITION B,Open,Lost-General,1983.97
"JOHNSON, KRISTY REED",DEMOCRATIC,ID,SENATE DISTRICT 003,Open,Lost-General,1850.91
"DAVIDSON, ANDREA",DEMOCRATIC,ID,HOUSE DISTRICT 007-POSITION A,Challenger,Withdrew-General,1597.00
"VOSS JR, JOSEPH AUGUST (GUS)",INDEPENDENT,ID,HOUSE DISTRICT 017-POSITION A,Open,Lost-General,1101.00
"PHELPS, CINDY",DEMOCRATIC,ID,HOUSE DISTRICT 008-POSITION B,Challenger,Lost-General,1046.32
"HOWARD, DONALD",REPUBLICAN,ID,HOUSE DISTRICT 019-POSITION B,Open,Lost-General,944.26
"KLEINKOPF, KREED RAY",REPUBLICAN,ID,HOUSE DISTRICT 017-POSITION A,Open,Lost-General,695.88
"WRITZ, RAY J",CONSTITUTION,ID,HOUSE DISTRICT 004-POSITION A,Open,Lost-General,611.99
"ZEIMANTZ, ANGEL",DEMOCRATIC,ID,HOUSE DISTRICT 010-POSITION B,Challenger,Lost-General,574.98
"BOTHWELL, GLIDA",DEMOCRATIC,ID,HOUSE DISTRICT 014-POSITION B,Challenger,Lost-General,567.66
"LISTER, CAITLIN R",DEMOCRATIC,ID,HOUSE DISTRICT 020-POSITION A,Challenger,Lost-General,350.00
"FISHER, SHARON L",DEMOCRATIC,ID,HOUSE DISTRICT 022-POSITION B,Open,Lost-General,325.00
"DAWSON, F LAWRENCE",DEMOCRATIC,ID,HOUSE DISTRICT 012-POSITION B,Open,Lost-General,294.96
"HOOKER, KIRSTEN",DEMOCRATIC,ID,SENATE DISTRICT 021,Open,Lost-General,280.00
"HASSE, ALMA",DEMOCRATIC,ID,SENATE DISTRICT 009,Challenger,Lost-General,220.00
"BRUNT, CHRISTOPHER JOSEPH",LIBERTARIAN,ID,HOUSE DISTRICT 033-POSITION A,Open,Lost-General,200.00
"WASHBURN, MIKE",REPUBLICAN,ID,HOUSE DISTRICT 019-POSITION A,Open,Lost-General,180.00
