Candidate,Party,State,Office,Incumbency,Result,Total Money
"PFEIFER, MARK",DEMOCRATIC,OH,SENATE DISTRICT 003,Open,Lost-General,82577.73
"MOORE, CARLA",NONPARTISAN,OH,APPELLATE COURT DISTRICT 009-MOORE SEAT,Incumbent,Won-General,82115.18
"MECKLENBORG, BOB",REPUBLICAN,OH,HOUSE DISTRICT 030,Incumbent,Won-General,81883.25
"HADSELL, RON",DEMOCRATIC,OH,HOUSE DISTRICT 089,Open,Lost-General,81687.04
"BURKE, DAVE",REPUBLICAN,OH,HOUSE DISTRICT 083,Incumbent,Won-General,80955.00
"NEWCOMB, DEBORAH A",DEMOCRATIC,OH,HOUSE DISTRICT 099,Incumbent,Lost-General,79962.98
"DAMSCHRODER, REX ARTHUR",REPUBLICAN,OH,HOUSE DISTRICT 081,Open,Won-General,79034.03
"HACKETT, ROBERT D (BOB)",REPUBLICAN,OH,HOUSE DISTRICT 084,Incumbent,Won-General,78464.37
"MALLORY, WILLIAM",NONPARTISAN,OH,APPELLATE COURT DISTRICT 001-MALLORY SEAT,Incumbent,Lost-General,76597.50
"MAAG, RON",REPUBLICAN,OH,HOUSE DISTRICT 035,Incumbent,Won-General,74193.76
"PIPER, ROBIN",NONPARTISAN,OH,APPELLATE COURT DISTRICT 012-OPEN SEAT 1,Open,Won-General,73759.00
"STAUTBERG, PETER J",REPUBLICAN,OH,HOUSE DISTRICT 034,Incumbent,Won-General,73408.09
"STEBELTON, GERALD L",REPUBLICAN,OH,HOUSE DISTRICT 005,Incumbent,Won-General,73350.65
"GRAHAM, JIM",REPUBLICAN,OH,US HOUSE DISTRICT OH 017,Challenger,Lost-General,72907.27
"EDWARDS, JULIE A",NONPARTISAN,OH,APPELLATE COURT DISTRICT 005-EDWARDS SEAT,Incumbent,Won-General,72809.37
"COLEY, WILLIAM P (BILL)",REPUBLICAN,OH,HOUSE DISTRICT 055,Incumbent,Won-General,72361.59
"MALLORY, DALE",DEMOCRATIC,OH,HOUSE DISTRICT 032,Incumbent,Won-General,70006.42
"TURNER, NINA",DEMOCRATIC,OH,SENATE DISTRICT 025,Incumbent,Won-General,69122.11
"GOODWIN, BRUCE W",REPUBLICAN,OH,HOUSE DISTRICT 074,Incumbent,Won-General,65308.12
"KOZLOWSKI, CASEY",REPUBLICAN,OH,HOUSE DISTRICT 099,Challenger,Won-General,63779.28
"WALTER, JOE",NONPARTISAN,OH,BOARD OF EDUCATION DISTRICT 002,Open,Lost-General,63673.80
"ADAMS, RICHARD N",REPUBLICAN,OH,HOUSE DISTRICT 079,Incumbent,Won-General,63105.00
"WEDDINGTON, W CARLTON",DEMOCRATIC,OH,HOUSE DISTRICT 027,Incumbent,Won-General,62512.23
"BUBP, DANNY",REPUBLICAN,OH,HOUSE DISTRICT 088,Incumbent,Won-General,61329.05
"GRENDELL, TIMOTHY J",REPUBLICAN,OH,HOUSE DISTRICT 098,Open,Won-General,59625.00
"BOOSE, TERRY",REPUBLICAN,OH,HOUSE DISTRICT 058,Incumbent,Won-General,58893.54
"REINBOLD JR, RICHARD D",DEMOCRATIC,OH,SENATE DISTRICT 029,Open,Lost-General,57451.72
"REECE, ALICIA",DEMOCRATIC,OH,HOUSE DISTRICT 033,Incumbent,Won-General,57103.85
"RAMOS, DANIEL",DEMOCRATIC,OH,HOUSE DISTRICT 056,Open,Won-General,56648.17
"BLAIR, TERRY",REPUBLICAN,OH,HOUSE DISTRICT 038,Incumbent,Won-General,51127.19
"ROSENBERGER, CLIFFORD (CLIFF)",REPUBLICAN,OH,HOUSE DISTRICT 086,Open,Won-General,49738.10
"ROCHFORD, RITA",NONPARTISAN,OH,APPELLATE COURT DISTRICT 009-WHITMORE SEAT,Challenger,Lost-General,49715.48
"HAYES, BILL",REPUBLICAN,OH,HOUSE DISTRICT 091,Challenger,Won-General,48362.28
"BRENNER, ANDREW O",REPUBLICAN,OH,HOUSE DISTRICT 002,Open,Won-General,47820.80
"KEOUGH, KATHLEEN",NONPARTISAN,OH,APPELLATE COURT DISTRICT 008-DYKE SEAT,Open,Won-General,46020.00
"SHEW, JAMES C",DEMOCRATIC,OH,HOUSE DISTRICT 053,Challenger,Lost-General,45774.11
"FISHER JR, CARL D",DEMOCRATIC,OH,HOUSE DISTRICT 036,Open,Lost-General,45492.22
"TAVARES, CHARLETA B",DEMOCRATIC,OH,SENATE DISTRICT 015,Open,Won-General,44846.14
"MCCLAIN, JEFFREY A",REPUBLICAN,OH,HOUSE DISTRICT 082,Incumbent,Won-General,43400.64
