office,candidate,party,state,incumbency,result,total money,district
State Senator,Marty Block,DEM,CA,Open,Won-General,873939.5,39
U.S. Representative,Tony Cardenas,DEM,CA,Open,Won-General,870318.51,29
State Representative,Richard Bloom,DEM,CA,Challenger,Won-General,858583.6,50
U.S. Representative,Eric Swalwell,DEM,CA,Challenger,Won-General,848859.02,15
State Senator,Bill Emmerson,REP,CA,Incumbent,Won-General,845814.89,23
State Representative,Frank Bigelow,REP,CA,Open,Won-General,837626.33,5
U.S. Representative,Jay Chen,DEM,CA,Challenger,Lost-General,836163.12,39
State Senator,Loni Hancock,DEM,CA,Incumbent,Won-General,836040.86,9
State Representative,Anthony Rendon,DEM,CA,Open,Won-General,834655.87,63
U.S. Representative,Zoe Lofgren,DEM,CA,Incumbent,Won-General,832132.83,19
U.S. Representative,Norman Solomon,DEM,CA,Open,Lost-Top Two Primary,825593.25,2
State Senator,Bill Monning,DEM,CA,Open,Won-General,820839.36,17
U.S. Representative,Fortney Stark,DEM,CA,Incumbent,Lost-General,816062.2,15
State Senator,Ricardo Lara,DEM,CA,Open,Won-General,811665.22,33
State Representative,Ian Calderon,DEM,CA,Open,Won-General,792555.32,57
State Representative,Bill Quirk,DEM,CA,Open,Won-General,787129.42,20
State Representative,Toni Atkins,DEM,CA,Incumbent,Won-General,774268.95,78
State Representative,Jimmy Gomez,DEM,CA,Open,Won-General,771812.89,51
U.S. Representative,Sam Farr,DEM,CA,Incumbent,Won-General,767033.07,20
State Representative,Richard Alarcon,DEM,CA,Open,Lost-General,763558.44,39
